distillery_name,name_norm,region
8 Doors Distillery,8 DOORS,Highland
Aberargie Distillery,ABERARGIE,Lowland
Aberfeldy Distillery,ABERFELDY,Highland
Aberlour Distillery,ABERLOUR,Speyside
Ailsa Bay Distillery,AILSA BAY,Lowland
Allt a' Bhainne Distillery,ALLT A BHAINNE,Speyside
Annandale Distillery,ANNANDALE,Lowland
Arbikie Distillery,ARBIKIE,Highland
Ardbeg Distillery,ARDBEG,Islay
Ardgowan Distillery,ARDGOWAN,Lowland
Ardmore Distillery,ARDMORE,Highland
Ardnahoe Distillery,ARDNAHOE,Islay
Ardnamurchan Distillery,ARDNAMURCHAN,Highland
Ardross Distillery,ARDROSS,Highland
Auchentoshan Distillery,AUCHENTOSHAN,Lowland
Auchroisk Distillery,AUCHROISK,Speyside
Aultmore Distillery,AULTMORE,Speyside
Balblair Distillery,BALBLAIR,Highland
Ballindalloch Distillery,BALLINDALLOCH,Speyside
Balmenach Distillery,BALMENACH,Speyside
Balmaud Distillery,BALMAUD,Highland
"Balvenie, The Distillery",BALVENIE,Speyside
Ben Nevis Distillery,BEN NEVIS,Highland
Benbecula Distillery,BENBECULA,Highland
BenRiach Distillery,BENRIACH,Speyside
Benrinnes Distillery,BENRINNES,Speyside
Benromach Distillery,BENROMACH,Speyside
Bladnoch Distillery,BLADNOCH,Lowland
Blair Athol Distillery,BLAIR ATHOL,Highland
Bonnington Distillery,BONNINGTON,Lowland
Borders Distillery,BORDERS,Lowland
Bowmore Distillery,BOWMORE,Islay
Braeval Distillery,BRAEVAL,Speyside
BrewDog Distilling Co Distillery,BREWDOG DISTILLING,Highland
Brora Distillery,BRORA,Highland
Bruichladdich Distillery,BRUICHLADDICH,Islay
Bunnahabhain Distillery,BUNNAHABHAIN,Islay
Burn o'Bennie Distillery,BURN O BENNIE,Highland
"Cairn Distillery, The Distillery",CAIRN,Speyside
Cameronbridge Distillery,CAMERONBRIDGE,Grain Whisky
Caol Ila Distillery,CAOL ILA,Islay
Cardhu Distillery,CARDHU,Speyside
Clydeside Distillery,CLYDESIDE,Lowland
Clynelish Distillery,CLYNELISH,Highland
Crafty Distillery,CRAFTY,Lowland
Cragganmore Distillery,CRAGGANMORE,Speyside
Craigellachie Distillery,CRAIGELLACHIE,Speyside
Daftmill Distillery,DAFTMILL,Lowland
Dailuaine Distillery,DAILUAINE,Speyside
Dalmore Distillery,DALMORE,Highland
Dalmunach Distillery,DALMUNACH,Speyside
Dalwhinnie Distillery,DALWHINNIE,Highland
Deanston Distillery,DEANSTON,Highland
Dornoch Distillery,DORNOCH,Highland
Dufftown Distillery,DUFFTOWN,Speyside
Dunphail Distillery,DUNPHAIL,Speyside
Eden Mill Distillery,EDEN MILL,Highland
Edradour Distillery,EDRADOUR,Highland
Falkirk Distillery,FALKIRK,Lowland
Fettercairn Distillery,FETTERCAIRN,Highland
Girvan Distillery,GIRVAN,Grain Whisky
Glasgow Distillery,GLASGOW,Lowland
Glen Elgin Distillery,GLEN ELGIN,Speyside
Glen Garioch Distillery,GLEN GARIOCH,Highland
Glen Grant Distillery,GLEN GRANT,Speyside
Glen Keith Distillery,GLEN KEITH,Speyside
Glen Moray Distillery,GLEN MORAY,Speyside
Glen Ord Distillery,GLEN ORD,Highland
Glen Scotia Distillery,GLEN SCOTIA,Campbeltown
Glen Spey Distillery,GLEN SPEY,Speyside
GlenAllachie Distillery,GLENALLACHIE,Speyside
Glenburgie Distillery,GLENBURGIE,Speyside
Glencadam Distillery,GLENCADAM,Highland
"Glendronach, The Distillery",GLENDRONACH,Highland
Glendullan Distillery,GLENDULLAN,Speyside
Glenfarclas Distillery,GLENFARCLAS,Speyside
Glenfiddich Distillery,GLENFIDDICH,Speyside
Glenglassaugh Distillery,GLENGLASSAUGH,Highland
Glengoyne Distillery,GLENGOYNE,Highland
Glengyle Distillery,GLENGYLE,Campbeltown
Glenkinchie Distillery,GLENKINCHIE,Lowland
"Glenlivet, The Distillery",GLENLIVET,Speyside
Glenlossie Distillery,GLENLOSSIE,Speyside
Glenmorangie Distillery,GLENMORANGIE,Highland
Glenrothes Distillery,GLENROTHES,Speyside
Glentauchers Distillery,GLENTAUCHERS,Speyside
"Glenturret, The Distillery",GLENTURRET,Highland
GlenWyvis Distillery,GLENWYVIS,Highland
Highland Park Distillery,HIGHLAND PARK,Highland
Holyrood Distillery,HOLYROOD,Lowland
InchDairnie Distillery,INCHDAIRNIE,Lowland
Inchgower Distillery,INCHGOWER,Speyside
Invergordon Distillery,INVERGORDON,Grain Whisky
Isle of Harris Distillery,ISLE OF HARRIS,Highland
Isle of Jura Distillery,ISLE OF JURA,Highland
Isle of Raasay Distillery,ISLE OF RAASAY,Highland
Isle of Tiree Distillery,ISLE OF TIREE,Highland
Jackton Distillery,JACKTON,Lowland
Kilchoman Distillery,KILCHOMAN,Islay
Kingsbarns Distillery,KINGSBARNS,Lowland
Kininvie Distillery,KININVIE,Speyside
Knockando Distillery,KNOCKANDO,Speyside
Knockdhu Distillery,KNOCKDHU,Speyside
Lagavulin Distillery,LAGAVULIN,Islay
Lagg Distillery,LAGG,Highland
Laphroaig Distillery,LAPHROAIG,Islay
Lindores Abbey Distillery,LINDORES ABBEY,Lowland
Linkwood Distillery,LINKWOOD,Speyside
Loch Lomond Grain Distillery,LOCH LOMOND GRAIN,Grain Whisky
Loch Lomond Malt Distillery,LOCH LOMOND MALT,Highland
Lochlea Distillery,LOCHLEA,Lowland
Lochranza Distillery,LOCHRANZA,Highland
Longmorn Distillery,LONGMORN,Speyside
"Macallan, The Distillery",MACALLAN,Speyside
Macduff Distillery,MACDUFF,Highland
Mannochmore Distillery,MANNOCHMORE,Speyside
Miltonduff Distillery,MILTONDUFF,Speyside
Mortlach Distillery,MORTLACH,Speyside
Ncn'ean Distillery,NCNEAN,Highland
North British Distillery,NORTH BRITISH,Grain Whisky
North Point Distillery,NORTH POINT,Highland
Oban Distillery,OBAN,Highland
Orkney Distillery,ORKNEY,Highland
Port Ellen Distillery,PORT ELLEN,Islay
Port of Leith Distillery,PORT OF LEITH,Lowland
Pulteney Distillery,PULTENEY,Highland
Reivers Distillery,REIVERS,Grain Whisky
Rosebank Distillery,ROSEBANK,Lowland
Roseisle Distillery,ROSEISLE,Speyside
Royal Brackla Distillery,ROYAL BRACKLA,Highland
Royal Lochnagar Distillery,ROYAL LOCHNAGAR,Highland
Scapa Distillery,SCAPA,Highland
Speyburn Distillery,SPEYBURN,Speyside
Springbank Distillery,SPRINGBANK,Campbeltown
Starlaw Distillery,STARLAW,Grain Whisky
Stirling Distillery,STIRLING,Lowland
Strathclyde Distillery,STRATHCLYDE,Grain Whisky
Strathearn Distillery,STRATHEARN,Highland
Strathisla Distillery,STRATHISLA,Speyside
Strathmill Distillery,STRATHMILL,Speyside
Talisker Distillery,TALISKER,Highland
Tamdhu Distillery,TAMDHU,Speyside
Tamnavulin Distillery,TAMNAVULIN,Speyside
Teaninich Distillery,TEANINICH,Highland
Tobermory Distillery,TOBERMORY,Highland
Tomatin Distillery,TOMATIN,Highland
Tomintoul Distillery,TOMINTOUL,Speyside
Torabhaig Distillery,TORABHAIG,Highland
Tormore Distillery,TORMORE,Speyside
Tullibardine Distillery,TULLIBARDINE,Highland
Uile-bheist Distillery,UILE BHEIST,Highland
Wolfburn Distillery,WOLFBURN,Highland
