distillery_name,address,postcode,easting,northing,crs
Ailsa Bay Distillery,Girvan,KA26 9PF,219835.62031621844,600081.8269427681,EPSG:27700
Ardgowan Distillery,"Inverkip, Greenock",PA16 0DT,221733.8951169156,673304.2433688393,EPSG:27700
Balmaud Distillery,Turriff,AB53 5PT,372313.9967052702,849800.0871197424,EPSG:27700
Benbecula Distillery,Gramsdale,HS7 5QP,82124.19528339733,855662.7527421328,EPSG:27700
BrewDog Distilling Co Distillery,Ellon,AB41 8BX,396993.21515599126,831070.8657980512,EPSG:27700
Burn o'Bennie Distillery,"Burn O'Bennie Rd, Banchory",AB31 5NN,371139.95587431255,796972.3525295825,EPSG:27700
"Cairn Distillery, The Distillery",Grantown-on-Spey,PH26 3NT,301876.18736753,825582.5906242946,EPSG:27700
Dunphail Distillery,"Dunphail, Forres",IV36 2QR,304110.96196506463,850070.0131039608,EPSG:27700
Glen Spey Distillery,"Rothes, Aberlour",AB38 7AY,327703.2817472109,848810.4827051398,EPSG:27700
Kininvie Distillery,Dufftown,AB55 4DH,332374.1937002641,839960.9739746286,EPSG:27700
Lochlea Distillery,Kilmarnock,KA1 5NN,245096.0320439754,630576.7545384273,EPSG:27700
Lochranza Distillery,"Lochranza, Isle of Arran",KA27 8HJ,193704.73308312587,650215.7073897193,EPSG:27700
North Point Distillery,Thurso,KW14 7UZ,302296.90914862324,969826.8298951983,EPSG:27700
Reivers Distillery,"Tweedbank, Galashiels",TD1 3RS,352281.2829721843,634551.6082536541,EPSG:27700
Starlaw Distillery,Bathgate,EH47 7BW,299649.1878713344,668335.0976085871,EPSG:27700
